Score|Industry|Year Founded|URLtrim|Recurring Revenue (million)|Margins|Stable Cash Flow|Industry Growth|Fragmented Industry|Straightforward Operations|Exogenous Risk|Barriers to Entry|Employee Estimate|Stickiness|Supplier Power|Customer Power|Service vs Project/Product|Longterm Relationships|Customer Concentration
Accept|hazardous materials and inspection training services|1982|aidtrain.com|0.5|medium|low|medium|high|yes|low|low|11-50|low|low|medium|service|yes|low
Accept|commercial cleaning services|1983|alliancemaintenance.com|0.5|low|medium|medium|high|yes|low|low|11-50|medium|low|medium|service|yes|medium
Accept|water tank services|1962|americanpipeandtank.com|0.5|medium|low|medium|high|yes|low|low|11-50|medium|medium|medium|service|no|low
Accept|oil and propane delivery services|1981|beaudryoilpropanedieselfuel.com|0.5|low|medium|low|high|yes|medium|low|11-50|medium|low|medium|product|no|low
Accept|energy inspection services|1986|cci-inspection.com|0.5|medium|low|medium|medium|no|medium|medium|11-50|high|medium|medium|service|yes|high
Reject|technical and marketing |2008|aamanet.org|7.4|low|medium|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|residential septic service|1995|abc-septic-service.com|0.5|low|low|medium|high|yes|low|low|11-50|medium|medium|medium|service|yes|high
Reject|residential air conditioning|1980|acca.org|4.3|medium|low|low|high|yes|low|low|51-200|low|low|high|service|no|low
Reject|recycling|1992|acrecycle.org|4.4|low|low|high|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|water environment testing|1979|acwajpia.com|12|medium|medium|medium|high|yes|low|medium|51-200|medium|medium|medium|service|yes|medium
Reject|hazardous waste management|2008|aesnm.com|0.5|medium|low|medium|high|yes|medium|low|2-10|medium|medium|medium|service|yes|medium
Reject|home restoration|1992|affordable-sewers.com|0.5|low|low|medium|high|yes|medium|low|2-10|medium|medium|medium|service|yes|medium
Reject|home restoration|1974|ai-restoration.com|0.5|medium|medium|medium|high|yes|medium|low|51-200|medium|medium|medium|service|yes|medium
Reject|manufacturer lightning and surge protection |1991|alltecglobal.com|0.5|low|low|low|high|yes|low|low|2-10|low|medium|medium|product|no|low
Reject|septic tank repair|1971|alseptic.com|0.5|low|low|low|high|yes|low|low|11-50|medium|medium|medium|service|yes|medium
Reject|retail used equipment shelving conveyor rack|1995|americansurplus.com|0.5|low|low|low|high|yes|medium|low|11-50|low|low|high|product|yes|low
Reject|environmental construction consulting|1981|ancoenv.net|0.5|medium|low|medium|high|yes|medium|low|11-50|low|low|medium|service|yes|low
Reject|manufacturer fire protection products |1939|ansul.com|37|medium|medium|medium|high|yes|medium|low|51-200|medium|medium|medium|product|no|low
Reject|industrial container|1946|apexdrum.com|22|medium|medium|low|high|yes|low|low|51-200|medium|low|high|product|no|low
Reject|water chemical sensor filter|1990|aquapure-il.com|7|medium|low|low|high|yes|medium|low|51-200|low|low|high|product|no|low
Reject|inspection audit testing|2002|asiainspection.com|14|low|medium|low|high|yes|medium|low|51-200|high|medium|medium|service|yes|high
Reject|sell generator and power|1959|asne.com|7.9|medium|low|low|high|yes|medium|low|11-50|low|low|high|product|no|low
Reject|sell used forklift trucks|1960|atlastoyota.com|0.5|low|low|low|high|yes|medium|low|51-200|low|low|high|product|no|low
Reject|nonprofit water safety quality education|1881|awwa.org|21|low|medium|low|high|yes|medium|low|51-200|medium|medium|medium|service|yes|medium
Reject|Sell service industrial mixer|1949|azo.com|5|medium|low|low|high|yes|medium|low|51-200|high|medium|medium|service|yes|medium
Reject|wholesale paper plastic|1950|baumannpaper.com|12|low|medium|low|high|yes|medium|low|51-200|medium|low|high|product|yes|medium
Reject|sell industrial container|1983|bayteccontainers.com|14|medium|low|medium|high|yes|medium|low|51-200|low|low|high|product|no|low
Reject|sell industrial lift shelving|1970|bigjoelift.com|8|medium|low|low|high|yes|medium|low|51-200|medium|low|high|product|no|low
Reject|sell propane gas container grill|1986|bluerhino.com|13|medium|medium|medium|high|yes|medium|low|51-200|low|low|high|product|no|low
Reject|septic tank cleaning repair|2008|bobulasepticservice.com|0.5|low|low|low|high|yes|medium|low|11-50|medium|medium|medium|service|yes|medium
Reject|septic tank cleaning repair|2008|brandonsepticservices.com|16|low|low|low|high|yes|medium|low|11-50|medium|medium|medium|service|yes|medium
Reject|sell used plastic packaging systems|1987|buckhorninc.com|42|medium|medium|medium|high|yes|medium|low|11-50|medium|medium|medium|product|no|low
Reject|sell new used bulk containers|1975|bucknerbarrel.com|0.5|low|low|low|high|yes|medium|low|11-50|low|low|high|product|no|low
Reject|sell plastic packing industrial|1980|bulk-pack.com|0.5|low|low|low|high|yes|medium|low|11-50|low|low|high|product|no|low
Reject|sell used liquid containers|2008|bulksystemsinc.com|17|low|low|low|high|yes|medium|low|51-200|low|low|high|product|no|low
Reject|manufacturer|1980|bulktankinc.com|30|medium|medium|medium|medium|yes|low|medium|51-200|medium|medium|medium|service|yes|medium
Reject|manufacturer additive measure instrument|1873|byk.com|8|medium|medium|low|high|yes|low|medium|51-200|low|low|medium|product|no|low
Reject|sell retailer lab supplies|1992|calpaclab.com|16|medium|medium|medium|high|yes|low|low|51-200|low|low|medium|product|no|low
Reject|foreign, not in us, chemical|2008|cefic.org|2.8|low|low|medium|high|yes|low|low|51-200|medium|low|medium|service|yes|low
Reject|manufacturer containers|1968|championcontainer.com|10|medium|medium|medium|high|yes|low|low|51-200|low|low|medium|product|no|low
Reject|foreign, not in us, training|1932|charlesandre.com|0.5|medium|medium|medium|high|yes|medium|low|51-200|medium|medium|medium|service|yes|medium
Accept|equipment resale|2013|excesslogic.com|0.5|low|low|medium|high|yes|low|low|11-50|medium|medium|medium|service|no|medium
Accept|contract manufacturing|1998|zentech.com|51|medium|medium|low|high|yes|high|high|51-200|high|high|medium|service|yes|medium
Accept|medical device refurbishment and repair|1995|rankinbiomed.com|7|high|high|medium|low|yes|medium|medium|11-50|medium|medium|medium|product|no|medium
